"Symbol","Quantity"
"ABR",10
"AGG",28.3284
"AGNC",15
"AMBA",1
"AMD",15
"AMT",1
"APTV",3.0048
"ARKF",5
"ARKG",2
"ARKK",9
"ARKQ",1
"ARKW",4
"BA",2
"BABA",2
"BB",20
"BBIO",10
"BIV",2.0167
"BLV",28.238
"BND",124.0863
"BNDX",31.2056
"BSV",3.0093
"BYND",1
"CCI",1
"CGEN",10
"CNDT",100
"CRM",2
"CRSP",1
"CRWD",5
"CSCO",1.0158
"CXSE",3.0164
"DAL",22
"DBX",5
"DEM",1.1405
"DFS",3
"DGRO",1
"DHR",2
"DJD",1.0396
"DLR",1
"DTD",2.1164
"DXC",15.1306
"EDIT",2
"EDV",5.0254
"EMD",5
"EQR",3
"FB",1
"FEYE",15
"FRT",1
"HA",10
"HDV",2.0612
"IAGG",1.0318
"ICE",3
"IEUR",1.0433
"IGIB",2.0797
"IGLB",5.0731
"IGSB",7.0562
"ILMN",1
"ILTB",13.1189
"IMTB",1.0366
"INTC",5.0113
"IPAC",2.0511
"IPO",1
"ISTB",1.0315
"ITOT",55.0495
"IUSB",1.0377
"IUSG",10.2175
"IUSV",6.2754
"IVV",4.0243
"IVW",1
"IWB",1
"IWV",1
"IXUS",3.1243
"JHMM",2.0396
"JPSE",5.1195
"KO",1.0095
"LAZR",7
"LUV",27
"LYFT",5
"M",10
"MCD",1.0079
"MCHP",1
"MGK",1
"MGM",10
"MGV",1
"MO",1
"MRNA",1
"MSFT",5.0035
"MU",20
"MUB",1.0283
"NFLX",1
"NIO",28
"NSTB",100
"NTLA",10
"NVDA",1
"NVTA",10
"O",9.0645
"ORCL",10.3425
"PANW",1
"PEP",1.0077
"PFE",6
"PFF",1
"PLTR",45
"PM",1
"QQQ",2
"QQQE",22.4718
"QS",3
"QYLD",3
"REET",26.7261
"RSP",1.0375
"RWR",1.0325
"SCHB",1
"SCHD",5.0206
"SCHG",1
"SCHH",3.0019
"SCHK",1
"SCHX",1
"SGOL",471
"SIVR",377
"SLQD",1.0363
"SOXL",5
"SPHD",31.0199
"SPHY",5
"SPLG",2
"SPOT",2
"SPTL",4
"SPTM",2
"SPY",6.3287
"SPYD",209.4447
"SQ",5
"STAG",5
"STIP",3.0417
"STOR",3
"STX",7
"T",20
"TEAM",1
"TECL",10.0049
"TLT",1.0028
"TSLA",5
"TSM",32.8172
"TWTR",25
"UBER",2
"USHY",8.2794
"USRT",23.6101
"VAW",1.0304
"VB",5.0342
"VBK",7.0679
"VBR",3.1148
"VCLT",2.0349
"VCR",1.019
"VDC",2.0747
"VDE",5.2767
"VEA",2.1301
"VEU",2
"VFH",1.0373
"VGT",14.2117
"VHT",2.0374
"VIG",7.2593
"VIS",1.0255
"VLDR",50
"VMBS",1.041
"VNQ",52.1584
"VNQI",29.2073
"VO",5.0397
"VOE",1.0237
"VONE",2.0183
"VOO",59.9267
"VOT",1
"VOX",2.0533
"VPU",1.0905
"VSS",2.1497
"VT",13.3295
"VTEB",1.0444
"VTI",32.4285
"VTV",6.074
"VUG",1.0015
"VV",2.0189
"VWO",4.2517
"VXF",1
"VXUS",1
"VYM",12.2521
"VYMI",1.0056
"WDC",10.047
"WMT",10.3933
"WPC",4
"XLC",1
"XLE",5
"XLNX",1.0081
"XOM",1
"ZM",3
"CASH",2000.24
